id;title;authors;year;venue;search_string
1;A Random and an Algorithmic Technique for Fault Detection Test Generation for Sequential Circuits;M. Breuer;1971;IEEE transactions on computers;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
2;Test Generation for Microprocessors;S. Thatte, J. Abraham;1980;IEEE Trans. Computers;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
3;Survey of expert systems for fault detection, test generation and maintenance;L. Pau;1986;;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
4;Test generation by fault sampling;V. Agrawal, H. Farhat, S. Seth;1988;Conference on Advanced Research in VLSI;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
5;Delay test generation. I. Concepts and coverage metrics;V. Iyengar, B. Rosen, I. Spillinger;1988;International Test Conference 1988 Proceeding@m_New Frontiers in Testing;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
6;Fault diagnosis in dynamic systems using analytical and knowledge-based redundancy: A survey and some new results;P. Frank;1990;at - Automatisierungstechnik;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
7;Experiments on the effectiveness of dataflow- and control-flow-based test adequacy criteria;Monica Hutchins, Herbert Foster, Tarak Goradia, T. Ostrand;1994;Proceedings of 16th International Conference on Software Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
8;Effect of test set size and block coverage on the fault detection effectiveness;W. E. Wong, J. R. Horgan, Saul London, A. Mathur;1994;Proceedings of 1994 IEEE International Symposium on Software Reliability Engineering;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
9;The Combinatorial Design Approach to Automatic Test Generation;D. Cohen, S. Dalal, J. Parelius, G. Patton;1996;IEEE Software;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
10;Information criteria for residual generation and fault detection and isolation;M. Basseville;1997;at - Automatisierungstechnik;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
11;Supervision, fault-detection and fault-diagnosis methods — An introduction;R. Isermann;1997;;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
12;Fault detection and diagnosis in engineering systems;J. Gertler;1998;;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
13;Transient fault detection via simultaneous multithreading;S. Reinhardt, Shubhendu S. Mukherjee;2000;Proceedings of 27th International Symposium on Computer Architecture (IEEE Cat. No.RS00201);"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
14;Prioritizing test cases for regression testing;Gregg Rothermel, R. Untch, Chengyun Chu, M. J. Harrold;2000;International Symposium on Software Testing and Analysis;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
15;Testing of communicating systems XIV : application to internet technologies and services : IFIP TC6/WG6.1 fourteenth International Conference on Testing of Communicating Systems (TestCom 2002), March…;Ifip Tc, Ina Scieferdecker, H. König, W. Adam;2002;;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
16;Test-suite reduction for model based tests: effects on test quality and implications for testing;M. Heimdahl, G. Devaraj;2004;Proceedings. 19th International Conference on…;"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
17;Pin: building customized program analysis tools with dynamic instrumentation;C. Luk, R. Cohn, K. Hazelwood;2005;ACM-SIGPLAN Symposium on Programming Language…;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
18;Case studies on fault detection effectiveness of model based test generation techniques;A. Paradkar;2005;ACM SIGSOFT Softw. Eng. Notes;"(""REST API"" OR ""Web API"") AND (""LLM"" OR ""Generative AI"" OR ""zero-shot"" OR ""few-shot"") AND (""automated test generation"") AND (""endpoint coverage"" OR ""operation coverage"" OR ""bug detection"" OR ""fault detection"")"
