sut,op,type,count
features,addConfiguration,boundary,2
features,addConfiguration,errorcode,1
features,addConfiguration,negative,2
features,addConfiguration,positive,1
features,addExcludesConstraintToProduct,boundary,3
features,addExcludesConstraintToProduct,errorcode,1
features,addExcludesConstraintToProduct,negative,2
features,addExcludesConstraintToProduct,positive,1
features,addFeatureToConfiguration,boundary,1
features,addFeatureToConfiguration,errorcode,1
features,addFeatureToConfiguration,negative,2
features,addFeatureToConfiguration,positive,1
features,addFeatureToProduct,boundary,3
features,addFeatureToProduct,errorcode,1
features,addFeatureToProduct,negative,2
features,addFeatureToProduct,positive,2
features,addProduct,boundary,2
features,addProduct,errorcode,1
features,addProduct,negative,1
features,addProduct,positive,1
features,addRequiresConstraintToProduct,boundary,2
features,addRequiresConstraintToProduct,errorcode,1
features,addRequiresConstraintToProduct,negative,2
features,addRequiresConstraintToProduct,positive,1
features,deleteConfiguration,boundary,1
features,deleteConfiguration,errorcode,1
features,deleteConfiguration,negative,2
features,deleteConfiguration,positive,1
features,deleteConstraint,boundary,3
features,deleteConstraint,errorcode,1
features,deleteConstraint,negative,2
features,deleteConstraint,positive,1
features,deleteFeature,boundary,1
features,deleteFeature,errorcode,1
features,deleteFeature,negative,2
features,deleteFeature,positive,1
features,deleteFeatureOfProduct,boundary,1
features,deleteFeatureOfProduct,errorcode,1
features,deleteFeatureOfProduct,negative,2
features,deleteFeatureOfProduct,positive,1
features,deleteProductByName,boundary,1
features,deleteProductByName,errorcode,1
features,deleteProductByName,negative,1
features,deleteProductByName,positive,1
features,getAllProducts,boundary,1
features,getAllProducts,errorcode,1
features,getAllProducts,negative,1
features,getAllProducts,positive,1
features,getConfigurationActivedFeatures,boundary,1
features,getConfigurationActivedFeatures,errorcode,1
features,getConfigurationActivedFeatures,negative,2
features,getConfigurationActivedFeatures,positive,1
features,getConfigurationWithNameForProduct,boundary,2
features,getConfigurationWithNameForProduct,errorcode,1
features,getConfigurationWithNameForProduct,negative,2
features,getConfigurationWithNameForProduct,positive,1
features,getConfigurationsForProduct,boundary,1
features,getConfigurationsForProduct,errorcode,1
features,getConfigurationsForProduct,negative,1
features,getConfigurationsForProduct,positive,1
features,getFeaturesForProduct,boundary,2
features,getFeaturesForProduct,errorcode,1
features,getFeaturesForProduct,negative,1
features,getFeaturesForProduct,positive,1
features,getProductByName,boundary,3
features,getProductByName,errorcode,1
features,getProductByName,negative,1
features,getProductByName,positive,1
features,updateFeatureOfProduct,boundary,2
features,updateFeatureOfProduct,errorcode,1
features,updateFeatureOfProduct,negative,2
features,updateFeatureOfProduct,positive,2
ncs,bessjUsingGET,boundary,6
ncs,bessjUsingGET,errorcode,2
ncs,bessjUsingGET,negative,3
ncs,bessjUsingGET,positive,3
ncs,checkTriangleUsingGET,boundary,7
ncs,checkTriangleUsingGET,errorcode,3
ncs,checkTriangleUsingGET,negative,3
ncs,checkTriangleUsingGET,positive,4
ncs,expintUsingGET,boundary,5
ncs,expintUsingGET,errorcode,2
ncs,expintUsingGET,negative,3
ncs,expintUsingGET,positive,2
ncs,fisherUsingGET,boundary,6
ncs,fisherUsingGET,errorcode,2
ncs,fisherUsingGET,negative,4
ncs,fisherUsingGET,positive,2
ncs,gammqUsingGET,boundary,6
ncs,gammqUsingGET,errorcode,2
ncs,gammqUsingGET,negative,3
ncs,gammqUsingGET,positive,3
ncs,remainderUsingGET,boundary,6
ncs,remainderUsingGET,errorcode,2
ncs,remainderUsingGET,negative,4
ncs,remainderUsingGET,positive,3
scs,calcUsingGET,boundary,5
scs,calcUsingGET,errorcode,2
scs,calcUsingGET,negative,3
scs,calcUsingGET,positive,6
scs,cookieUsingGET,boundary,3
scs,cookieUsingGET,errorcode,1
scs,cookieUsingGET,negative,1
scs,cookieUsingGET,positive,3
scs,costfunsUsingGET,boundary,3
scs,costfunsUsingGET,errorcode,1
scs,costfunsUsingGET,negative,2
scs,costfunsUsingGET,positive,4
scs,dateParseUsingGET,boundary,3
scs,dateParseUsingGET,errorcode,1
scs,dateParseUsingGET,negative,3
scs,dateParseUsingGET,positive,3
scs,fileSuffixUsingGET,boundary,3
scs,fileSuffixUsingGET,errorcode,1
scs,fileSuffixUsingGET,negative,1
scs,fileSuffixUsingGET,positive,4
scs,notyPevarUsingGET,boundary,3
scs,notyPevarUsingGET,errorcode,1
scs,notyPevarUsingGET,negative,2
scs,notyPevarUsingGET,positive,3
scs,ordered4UsingGET,boundary,3
scs,ordered4UsingGET,errorcode,1
scs,ordered4UsingGET,negative,1
scs,ordered4UsingGET,positive,4
scs,patUsingGET,boundary,3
scs,patUsingGET,errorcode,1
scs,patUsingGET,negative,1
scs,patUsingGET,positive,4
scs,regexUsingGET,boundary,3
scs,regexUsingGET,errorcode,1
scs,regexUsingGET,negative,1
scs,regexUsingGET,positive,3
scs,text2txtUsingGET,boundary,3
scs,text2txtUsingGET,errorcode,1
scs,text2txtUsingGET,negative,2
scs,text2txtUsingGET,positive,3
scs,titleUsingGET,boundary,3
scs,titleUsingGET,errorcode,2
scs,titleUsingGET,negative,3
scs,titleUsingGET,positive,4
