id,title,authors,year,venue,search_string
1,Automated Test Case Generation for Software APIs Using Reinforcement Learning,N Wang,2026,,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
2,Enhancing Automated Unit Test Generation with Large Language Models: A Systematic Literature Review,"J Zhang, X Hu, C Gao, X Xia, S Li",2026,ACM Transactions on Software …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
3,Design and implementation of a full stack automated software testing platform based on large language models,R Zhang,2026,,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
4,Automating Software and Vulnerability Testing in REST APIs with Large Language Models,D Strauß,2025,,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
5,Automated REST API Black-box Test Generation in Practice: An Experience Report from Industry,"D Corradini, SY Shin, D Bianculli",2026,19th IEEE International Conference on …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
6,RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements,"L Kogler, S Hangler, M Ehrhart, B Dornauer…",2026,arXiv preprint arXiv …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
7,Exploring LLM-Powered Software Testing: A Study on Multi-Agent Systems for REST APIs,E Sidiropoulos,2025,,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
8,MASTEST: A LLM-Based Multi-Agent System For RESTful API Tests,"X Han, H Zhu",2025,arXiv preprint arXiv:2511.18038,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
9,Automating rest api postman test cases using llm,"SD Sri, RCSP Raman, G Rajagopal, ST Chan",2024,arXiv preprint arXiv …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
10,"A Comparative Survey of Mutation Testing Across Large Language Models, REST APIs, and Database Engines","B Falah, H Routaib",2025,"IEEE 16th Annual Information …, 2025","(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
11,Evaluating LLMs on Sequential API Call Through Automated Test Generation,"Y Huang, J Song, D Song, Z Ji, W Wang…",2025,arXiv preprint arXiv …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
12,Systematic Literature Review: RESTful API Testing Using Machine Learning Techniques,"BA Otieno, E Araka",2025,… of the Kenya National Commission for …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
13,Assessing REST API Test Generation Strategies with Log Coverage,"N Reinikainen, M Mäntylä, Y Wang",2026,arXiv preprint arXiv:2604.07073,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
14,A quantized LLM driven framework for automated software testing,R Ahmed,2026,,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
15,Leveraging large language models to improve rest api testing,"M Kim, T Stennett, D Shah, S Sinha…",2024,"… of the ACM/IEEE 44th …, 2024","(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
16,You can rest now: Automated specification inference and black-box testing of restful apis with large language models,"A Decrop, G Perrouin, M Papadakis, X Devroey…",2024,,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
17,Mutation-guided unit test generation with a large language model,"G Wang, Q Xu, L Briand, K Liu",2026,IEEE Transactions on Software …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
18,Combining TSL and LLM to Automate REST API Testing: A Comparative Study,"T Barradas, A Paes, VO Neves",2025,arXiv preprint arXiv:2509.05540,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
19,TestGPT-Server: Automatically Testing Microservices with Large Language Models at ByteDance,"J Wang, S Chen, Y Liu, Y Deng, L Zhang…",2025,Proceedings of the 33rd …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
20,FailMapper: Automated Generation of Unit Tests Guided by Failure Scenarios,"R Dong, Z Deng, X Zhu, X Du, H Liu…",2025,"40th IEEE/ACM …, 2025","(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
21,"AI-Powered Unit Test Generation via Multi-LLM Chaining: A Case Study With GPT-4o, Gemini, and Claude-3.5","C Kumar, US Ponaka, PVLN Naidu…",2025,IEEE …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
22,Kat: Dependency-aware automated api testing with large language models,"T Le, T Tran, D Cao, V Le, TN Nguyen…",2024,… IEEE Conference on …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
23,Open API Testing Using Large Language Models and Prompt Engineering,"PTT Kyaw, A Luangsodsai…",2025,"22nd International …, 2025","(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
24,Effective Automation of Black-Box Testing for REST APIs with Machine Learning and Language Models,M Kim,2025,,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
25,Llamaresttest: Effective rest api testing with small language models,"M Kim, S Sinha, A Orso",2025,Proceedings of the ACM on Software …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
26,Large Language Model (LLM)-Based Automation for Software Test Script Generation,S Kavuri,2022,Computer Fraud & Security,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
27,Automated web application testing based on artificial intelligence,"O Darii, M Beldiga, T Bragaru",2025,Journal of Engineering Science,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
28,Test amplification for rest apis via single and multi-agent llm systems,"R Nooyens, T Bardakci, M Beyazıt…",2025,… Conference on Testing …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
29,An LLM-Powered API Testing Framework Based on Structural Similarity Analysis,"A Sezgin, T Kocatekin…",2026,"14th International …, 2026","(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
30,APITestGenie: Generating Web API Tests from Requirements and API Specifications with LLMs,"A Pereira, B Lima, JP Faria",2026,arXiv preprint arXiv:2604.02039,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
31,Deeprest: Automated test case generation for rest apis exploiting deep reinforcement learning,"D Corradini, Z Montolli, M Pasqua…",2024,Proceedings of the 39th …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
32,"Systematic Mapping of Empirical Research on LLM-based Test Generation: Research Gaps, Methodologies, and Emerging Trends","J Marques Prates, BOC Jimez, SM Melo…",,"… , and Emerging Trends","(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
33,Lrasgen: Llm-based restful api specification generation,"S Deng, R Huang, M Zhang, C Cui, D Towey…",2025,ACM Transactions on …,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
34,MUATC: Multi-Agent Utilization to Augment Test Coverage,"T Ma, S Liu, W Dong, J Liu…",2025,"32nd Asia-Pacific …, 2025","(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
35,REST API Fuzzing Using API Dependencies and Large Language Models,"CH Liu, SL Chen, KY Li",2026,Engineering Proceedings,"(""REST API"" OR ""Web API"" OR ""OpenAPI"" OR ""Swagger"") AND (""Large Language Model"" OR ""LLM"") AND (""test generation"" OR ""test case generation"") AND (""coverage"" OR ""fault detection"")"
