sut,arm,op,type,count
features,llm,addConfiguration,boundary,2
features,llm,addConfiguration,errorcode,1
features,llm,addConfiguration,negative,2
features,llm,addConfiguration,positive,1
features,llm,addExcludesConstraintToProduct,boundary,3
features,llm,addExcludesConstraintToProduct,errorcode,1
features,llm,addExcludesConstraintToProduct,negative,2
features,llm,addExcludesConstraintToProduct,positive,1
features,llm,addFeatureToConfiguration,boundary,1
features,llm,addFeatureToConfiguration,errorcode,1
features,llm,addFeatureToConfiguration,negative,2
features,llm,addFeatureToConfiguration,positive,1
features,llm,addFeatureToProduct,boundary,3
features,llm,addFeatureToProduct,errorcode,1
features,llm,addFeatureToProduct,negative,2
features,llm,addFeatureToProduct,positive,2
features,llm,addProduct,boundary,2
features,llm,addProduct,errorcode,1
features,llm,addProduct,negative,1
features,llm,addProduct,positive,1
features,llm,addRequiresConstraintToProduct,boundary,2
features,llm,addRequiresConstraintToProduct,errorcode,1
features,llm,addRequiresConstraintToProduct,negative,2
features,llm,addRequiresConstraintToProduct,positive,1
features,llm,deleteConfiguration,boundary,1
features,llm,deleteConfiguration,errorcode,1
features,llm,deleteConfiguration,negative,2
features,llm,deleteConfiguration,positive,1
features,llm,deleteConstraint,boundary,3
features,llm,deleteConstraint,errorcode,1
features,llm,deleteConstraint,negative,2
features,llm,deleteConstraint,positive,1
features,llm,deleteFeature,boundary,1
features,llm,deleteFeature,errorcode,1
features,llm,deleteFeature,negative,2
features,llm,deleteFeature,positive,1
features,llm,deleteFeatureOfProduct,boundary,1
features,llm,deleteFeatureOfProduct,errorcode,1
features,llm,deleteFeatureOfProduct,negative,2
features,llm,deleteFeatureOfProduct,positive,1
features,llm,deleteProductByName,boundary,1
features,llm,deleteProductByName,errorcode,1
features,llm,deleteProductByName,negative,1
features,llm,deleteProductByName,positive,1
features,llm,getAllProducts,boundary,1
features,llm,getAllProducts,errorcode,1
features,llm,getAllProducts,negative,1
features,llm,getAllProducts,positive,1
features,llm,getConfigurationActivedFeatures,boundary,1
features,llm,getConfigurationActivedFeatures,errorcode,1
features,llm,getConfigurationActivedFeatures,negative,2
features,llm,getConfigurationActivedFeatures,positive,1
features,llm,getConfigurationWithNameForProduct,boundary,2
features,llm,getConfigurationWithNameForProduct,errorcode,1
features,llm,getConfigurationWithNameForProduct,negative,2
features,llm,getConfigurationWithNameForProduct,positive,1
features,llm,getConfigurationsForProduct,boundary,1
features,llm,getConfigurationsForProduct,errorcode,1
features,llm,getConfigurationsForProduct,negative,1
features,llm,getConfigurationsForProduct,positive,1
features,llm,getFeaturesForProduct,boundary,2
features,llm,getFeaturesForProduct,errorcode,1
features,llm,getFeaturesForProduct,negative,1
features,llm,getFeaturesForProduct,positive,1
features,llm,getProductByName,boundary,3
features,llm,getProductByName,errorcode,1
features,llm,getProductByName,negative,1
features,llm,getProductByName,positive,1
features,llm,updateFeatureOfProduct,boundary,2
features,llm,updateFeatureOfProduct,errorcode,1
features,llm,updateFeatureOfProduct,negative,2
features,llm,updateFeatureOfProduct,positive,2
features,manual,addConfiguration,negative,1
features,manual,addConfiguration,positive,1
features,manual,addExcludesConstraintToProduct,errorcode,1
features,manual,addExcludesConstraintToProduct,negative,2
features,manual,addExcludesConstraintToProduct,positive,1
features,manual,addFeatureToConfiguration,negative,2
features,manual,addFeatureToConfiguration,positive,1
features,manual,addFeatureToProduct,boundary,2
features,manual,addFeatureToProduct,negative,1
features,manual,addFeatureToProduct,positive,2
features,manual,addProduct,positive,1
features,manual,addRequiresConstraintToProduct,errorcode,1
features,manual,addRequiresConstraintToProduct,negative,2
features,manual,addRequiresConstraintToProduct,positive,1
features,manual,deleteConfiguration,negative,1
features,manual,deleteConfiguration,positive,1
features,manual,deleteConstraint,boundary,2
features,manual,deleteConstraint,errorcode,2
features,manual,deleteConstraint,negative,1
features,manual,deleteConstraint,positive,1
features,manual,deleteFeature,errorcode,1
features,manual,deleteFeature,negative,1
features,manual,deleteFeature,positive,1
features,manual,deleteFeatureOfProduct,negative,1
features,manual,deleteFeatureOfProduct,positive,1
features,manual,deleteProductByName,negative,1
features,manual,deleteProductByName,positive,1
features,manual,getAllProducts,positive,1
features,manual,getConfigurationActivedFeatures,negative,2
features,manual,getConfigurationActivedFeatures,positive,1
features,manual,getConfigurationWithNameForProduct,errorcode,1
features,manual,getConfigurationWithNameForProduct,negative,2
features,manual,getConfigurationWithNameForProduct,positive,1
features,manual,getConfigurationsForProduct,negative,1
features,manual,getConfigurationsForProduct,positive,1
features,manual,getFeaturesForProduct,negative,1
features,manual,getFeaturesForProduct,positive,1
features,manual,getProductByName,boundary,2
features,manual,getProductByName,errorcode,1
features,manual,getProductByName,negative,1
features,manual,getProductByName,positive,1
features,manual,updateFeatureOfProduct,errorcode,1
features,manual,updateFeatureOfProduct,negative,2
features,manual,updateFeatureOfProduct,positive,1
ncs,llm,bessjUsingGET,boundary,6
ncs,llm,bessjUsingGET,errorcode,2
ncs,llm,bessjUsingGET,negative,3
ncs,llm,bessjUsingGET,positive,3
ncs,llm,checkTriangleUsingGET,boundary,7
ncs,llm,checkTriangleUsingGET,errorcode,3
ncs,llm,checkTriangleUsingGET,negative,3
ncs,llm,checkTriangleUsingGET,positive,4
ncs,llm,expintUsingGET,boundary,5
ncs,llm,expintUsingGET,errorcode,2
ncs,llm,expintUsingGET,negative,3
ncs,llm,expintUsingGET,positive,2
ncs,llm,fisherUsingGET,boundary,6
ncs,llm,fisherUsingGET,errorcode,2
ncs,llm,fisherUsingGET,negative,4
ncs,llm,fisherUsingGET,positive,2
ncs,llm,gammqUsingGET,boundary,6
ncs,llm,gammqUsingGET,errorcode,2
ncs,llm,gammqUsingGET,negative,3
ncs,llm,gammqUsingGET,positive,3
ncs,llm,remainderUsingGET,boundary,6
ncs,llm,remainderUsingGET,errorcode,2
ncs,llm,remainderUsingGET,negative,4
ncs,llm,remainderUsingGET,positive,3
ncs,manual,bessjUsingGET,boundary,4
ncs,manual,bessjUsingGET,errorcode,2
ncs,manual,bessjUsingGET,negative,2
ncs,manual,bessjUsingGET,positive,2
ncs,manual,checkTriangleUsingGET,boundary,4
ncs,manual,checkTriangleUsingGET,errorcode,2
ncs,manual,checkTriangleUsingGET,negative,3
ncs,manual,checkTriangleUsingGET,positive,3
ncs,manual,expintUsingGET,boundary,4
ncs,manual,expintUsingGET,errorcode,1
ncs,manual,expintUsingGET,negative,2
ncs,manual,expintUsingGET,positive,2
ncs,manual,fisherUsingGET,boundary,4
ncs,manual,fisherUsingGET,errorcode,1
ncs,manual,fisherUsingGET,negative,2
ncs,manual,fisherUsingGET,positive,2
ncs,manual,gammqUsingGET,boundary,4
ncs,manual,gammqUsingGET,errorcode,1
ncs,manual,gammqUsingGET,negative,2
ncs,manual,gammqUsingGET,positive,2
ncs,manual,remainderUsingGET,boundary,4
ncs,manual,remainderUsingGET,errorcode,2
ncs,manual,remainderUsingGET,negative,2
ncs,manual,remainderUsingGET,positive,3
scs,llm,calcUsingGET,boundary,5
scs,llm,calcUsingGET,errorcode,2
scs,llm,calcUsingGET,negative,3
scs,llm,calcUsingGET,positive,6
scs,llm,cookieUsingGET,boundary,3
scs,llm,cookieUsingGET,errorcode,1
scs,llm,cookieUsingGET,negative,1
scs,llm,cookieUsingGET,positive,3
scs,llm,costfunsUsingGET,boundary,3
scs,llm,costfunsUsingGET,errorcode,1
scs,llm,costfunsUsingGET,negative,2
scs,llm,costfunsUsingGET,positive,4
scs,llm,dateParseUsingGET,boundary,3
scs,llm,dateParseUsingGET,errorcode,1
scs,llm,dateParseUsingGET,negative,3
scs,llm,dateParseUsingGET,positive,3
scs,llm,fileSuffixUsingGET,boundary,3
scs,llm,fileSuffixUsingGET,errorcode,1
scs,llm,fileSuffixUsingGET,negative,1
scs,llm,fileSuffixUsingGET,positive,4
scs,llm,notyPevarUsingGET,boundary,3
scs,llm,notyPevarUsingGET,errorcode,1
scs,llm,notyPevarUsingGET,negative,2
scs,llm,notyPevarUsingGET,positive,3
scs,llm,ordered4UsingGET,boundary,3
scs,llm,ordered4UsingGET,errorcode,1
scs,llm,ordered4UsingGET,negative,1
scs,llm,ordered4UsingGET,positive,4
scs,llm,patUsingGET,boundary,3
scs,llm,patUsingGET,errorcode,1
scs,llm,patUsingGET,negative,1
scs,llm,patUsingGET,positive,4
scs,llm,regexUsingGET,boundary,3
scs,llm,regexUsingGET,errorcode,1
scs,llm,regexUsingGET,negative,1
scs,llm,regexUsingGET,positive,3
scs,llm,text2txtUsingGET,boundary,3
scs,llm,text2txtUsingGET,errorcode,1
scs,llm,text2txtUsingGET,negative,2
scs,llm,text2txtUsingGET,positive,3
scs,llm,titleUsingGET,boundary,3
scs,llm,titleUsingGET,errorcode,2
scs,llm,titleUsingGET,negative,3
scs,llm,titleUsingGET,positive,4
scs,manual,calcUsingGET,boundary,3
scs,manual,calcUsingGET,errorcode,4
scs,manual,calcUsingGET,negative,1
scs,manual,calcUsingGET,positive,4
scs,manual,cookieUsingGET,boundary,1
scs,manual,cookieUsingGET,errorcode,2
scs,manual,cookieUsingGET,negative,1
scs,manual,cookieUsingGET,positive,2
scs,manual,costfunsUsingGET,boundary,4
scs,manual,costfunsUsingGET,errorcode,2
scs,manual,costfunsUsingGET,negative,1
scs,manual,costfunsUsingGET,positive,1
scs,manual,dateParseUsingGET,boundary,2
scs,manual,dateParseUsingGET,errorcode,2
scs,manual,dateParseUsingGET,negative,2
scs,manual,dateParseUsingGET,positive,2
scs,manual,fileSuffixUsingGET,boundary,3
scs,manual,fileSuffixUsingGET,errorcode,1
scs,manual,fileSuffixUsingGET,negative,1
scs,manual,fileSuffixUsingGET,positive,2
scs,manual,notyPevarUsingGET,boundary,3
scs,manual,notyPevarUsingGET,errorcode,2
scs,manual,notyPevarUsingGET,negative,1
scs,manual,notyPevarUsingGET,positive,1
scs,manual,ordered4UsingGET,boundary,2
scs,manual,ordered4UsingGET,errorcode,2
scs,manual,ordered4UsingGET,negative,1
scs,manual,ordered4UsingGET,positive,2
scs,manual,patUsingGET,boundary,3
scs,manual,patUsingGET,errorcode,1
scs,manual,patUsingGET,negative,1
scs,manual,patUsingGET,positive,2
scs,manual,regexUsingGET,boundary,1
scs,manual,regexUsingGET,errorcode,1
scs,manual,regexUsingGET,negative,1
scs,manual,regexUsingGET,positive,2
scs,manual,text2txtUsingGET,boundary,2
scs,manual,text2txtUsingGET,errorcode,1
scs,manual,text2txtUsingGET,negative,1
scs,manual,text2txtUsingGET,positive,2
scs,manual,titleUsingGET,boundary,1
scs,manual,titleUsingGET,errorcode,2
scs,manual,titleUsingGET,negative,3
scs,manual,titleUsingGET,positive,3
