id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
213933,Investigating web APIs on the World Wide Web,"Domingue, John, Maleshkova, Maria, Pedrinaci, Carlos",2012,IEEE,String A,EXCLUDE,IC2 - Published before 2018,,
213942,Using semantics for automating the authentication of Web APIs,"Alvaro, Guillermo, Domingue, John, Maleshkova, Maria, Martinez, Ivan, Pedrinaci, Carlos",2012,,String A,EXCLUDE,IC2 - Published before 2018,,
455847,Specification of high-level application programming interfaces (SemSorGrid4Env),"De Roure, David C., Martinez, Kirk, Page, Kevin R., Sadler, Jason",2012,,String B,EXCLUDE,IC2 - Published before 2018,,
942872,A Knowledge-based Automated Debugger in Learning System,"Aljunid, Syed Ahmad, Nordin, Mohd Jan, Shukur, Zarina, Zin, Abdullah Mohd",2012,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
2385407,How dangerous is your life? Personalising Government open crime data,"Garbett, Andrew, Kirman, Ben, Lawson, Shaun, Linehan, Conor, Wardman, Jamie",2012,,String B,EXCLUDE,IC2 - Published before 2018,,
4214867,An analysis of social network connect services,"Salvachúa, Joaquín, Sánchez, Víctor, Tapiador, Antonio",2012,arXiv,String B,EXCLUDE,IC2 - Published before 2018,,
4414924,Musical Program Auralisation: Empirical Studies,"Alty, James, Vickers, Paul",2013,,String B,EXCLUDE,IC2 - Published before 2018,,
8054767,Crisis Event Extraction Service (CREES) - Automatic Detection and Classification of Crisis-related Content on Social Media,"Alani, Harith, Burel, Gregoire",2018,,String A,EXCLUDE,EC4 - Out of domain,,
8295273,PEP4Django - A Policy Enforcement Point for Python Web Applications,"Da Silva, Carlos, Medeiros, Welkson, Sampaio, Silvio",2020,,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
8389109,Network traffic analysis for threats detection in the Internet of Things,"Adebisi, B., Baker, T., Belguith, S., Bounceur, A., Epiphaniou, Gregory, Hammoudeh, M., Kayes, A. S. M., Pimlott, J.",2020,IEEE,String A,EXCLUDE,EC4 - Not related to REST/Web API,,
8567877,Incident detection using data from social media,"Georgakis, P, Petalas, Y, Salas, A",2020,IEEE,String B,EXCLUDE,EC4 - Out of domain,,
8568265,Traffic event detection framework using social media,"Ammari, A, Georgakis, P, Nwagboso, C, Petalas, I, Salas, A",2020,IEEE,String B,EXCLUDE,EC4 - Out of domain,,
8755956,Intelligent intrusion detection in low power IoTs,"Ahmadinia, Ali, Javed, Abbas, Larijani, Hadi, Saeed, Ahmed",2020,ACM,String B,EXCLUDE,EC4 - Not related to REST/Web API,,
9461354,Intra-exchange Cryptocurrency Arbitrage Bot,"Han, Eric",2019,,String B,EXCLUDE,EC4 - Out of domain,,
9850099,SplineAPI: A REST API for NLP Services,"B Liu, H Cunningham, I Mani, J Martin, L Padró",2016,,"String A, String B",EXCLUDE,IC2 - Published before 2018,,
16115856,Generation and Maintenance of Java Classes Based on Apiary Blueprint,"Hermann, Lukáš",2016,,String A,EXCLUDE,IC2 - Published before 2018,,
