"id","title","authors","year","venue","doi","url","search_strings","v1_decision","v1_reason","v2_decision","v2_reason"
"1","LlamaRestTest: Effective REST API Testing with Small Language Models","Myeongsoo Kim | Saurabh Sinha | Alessandro Orso","2025","Proceedings of the ACM on software engineering.","10.1145/3715737","https://openalex.org/W4411449726","String 1, String 2","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
"2","KAT: Dependency-Aware Automated API Testing with Large Language Models","Minh-Tri Le | Thien Tran | Duy Minh Cao | Vy Le | Tien N. Nguyen | Vu Nguyen","2024","arXiv (Cornell University)","10.1109/icst60714.2024.00017","https://openalex.org/W4400703290","String 1","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
"3","ChatGPT vs SBST: A Comparative Assessment of Unit Test Suite Generation","Yutian Tang | Zhijie Liu | Zhichao Zhou | Xiapu Luo","2024","IEEE Transactions on Software Engineering","10.1109/tse.2024.3382365","https://openalex.org/W4393305539","String 1","EXCLUDE","EC4 - Unit testing, not REST API","",""
"4","Enriching Location Representation with Detailed Semantic Information","Muehlburger, Herbert | Wotawa, Franz","2024","arXiv (Cornell University)","10.4230/lipics.giscience.2025.3","https://openalex.org/W4401306886","String 1","EXCLUDE","EC4 - CPS anomaly detection","",""
"5","A Survey on the Development of Network Protocol Fuzzing Techniques","Zhaowei Zhang | Hongzheng Zhang | Jinjing Zhao | Yanfei Yin","2023","Electronics","10.3390/electronics12132904","https://openalex.org/W4382941062","String 1","EXCLUDE","EC4 - Network protocol fuzzing","",""
"6","Technology adoption performance evaluation applied to testing industrial REST APIs","Alexander Poth | Olsi Rrjolli | Andrea Arcuri","2024","Automated Software Engineering","10.1007/s10515-024-00477-2","https://openalex.org/W4404900414","String 1","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
"7","SAINT: Service-level Integration Test Generation with Program Analysis and LLM-based Agents","Rangeet Pan | Raju Pavuluri | Ruikai Huang | Rahul Krishna | Tyler Stennett | Alessandro Orso | Saurabh Sinha","2025","arXiv (Cornell University)","10.48550/arxiv.2511.13305","https://openalex.org/W4416363343","String 1","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
"8","Розробка та верифікація оркестраційної архітектури AI-агентів для автоматизованого тестування API з уніфікованим представленням вимог","Максим Леонідович Москаленко","2026","The Scientific Issues of Ternopil Volodymyr Hnatiuk National Pedagogical University Series pedagogy","","https://openalex.org/W7162968689","String 1, String 2","EXCLUDE","IC1 - Non-English","",""
"9","Research directions for using LLM in software requirement engineering: a systematic review","Arshia Hemmat | Mohammadreza Sharbaf | Shekoufeh Kolahdouz-Rahimi | Kevin Lano | Sobhan Y. Tehrani","2025","Frontiers in Computer Science","10.3389/fcomp.2025.1519437","https://openalex.org/W4408691084","String 1","EXCLUDE","EC4 - Requirements engineering","",""
"10","Automated Test Generation for Medical Rules Web Services: A Case Study at the Cancer Registry of Norway","Christoph Laaber | Tao Yue | Shaukat Ali | Thomas Schwitalla | Jan F. Nygård","2023","arXiv (Cornell University)","10.1145/3611643.3613882","https://openalex.org/W4386185444","String 1, String 2","EXCLUDE","EC4 - No REST API testing context","",""
"11","RESTestBench: A Benchmark for Evaluating the Effectiveness of LLM-Generated REST API Test Cases from NL Requirements","Leon Kogler | Stefan Hangler | Maximilian Ehrhart | Benedikt Dornauer | Roland Wuersching | Peter Schrammel","2026","ArXiv.org","","https://openalex.org/W7159547511","String 1, String 2","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
"12","Fuzzing frameworks for server-side web applications: a survey","I Putu Arya Dharmaadi | Ηλίας Αθανασόπουλος | Fatih Türkmen","2025","International Journal of Information Security","10.1007/s10207-024-00979-w","https://openalex.org/W4407152789","String 1, String 2","EXCLUDE","IC4 - No LLM involvement","",""
"13","Assessing REST API Test Generation Strategies with Log Coverage","Nana Reinikainen | Mika Mäntylä | Yuqing Wang","2026","ArXiv.org","","https://openalex.org/W7153670734","String 1","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
"14","Deep learning-based software engineering: progress, challenges, and opportunities","Xiangping Chen | Xing Hu | Yuan Huang | He Jiang | Weixing Ji | Yanjie Jiang | Yanyan Jiang | Bo Liu | Hui Liu | Xiaochen Li | Xiaoli Lian | Guozhu Meng | Peng Xin | Hailong Sun | Lin Shi | Bo Wang | Chong Wang | Jiayi Wang | Tiantian Wang | Jifeng Xuan | Xin Xia | Yibiao Yang | Yixin Yang | Zhang Li | Yuming Zhou | Lu Zhang","2024","Science China Information Sciences","10.1007/s11432-023-4127-5","https://openalex.org/W4403579163","String 1","EXCLUDE","EC4 - No REST API testing context","",""
"15","You Can REST Now: Automated REST API Documentation and Testing via LLM-Assisted Request Mutations","Alix Decrop | Xavier Devroey | Mike Papadakis | Pierre‐Yves Schobbens | Gilles Perrouin","2024","arXiv (Cornell University)","10.48550/arxiv.2402.05102","https://openalex.org/W4391670454","String 1","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
"16","DynER: Optimized Test Case Generation for Representational State Transfer (REST)ful Application Programming Interface (API) Fuzzers Guided by Dynamic Error Responses","Juxing Chen | Yuanchao Chen | Zulie Pan | Yu Chen | Yuwei Li | Yang Li | Min Zhang | Yi Shen","2024","Electronics","10.3390/electronics13173476","https://openalex.org/W4402130153","String 1, String 2","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
"17","Prompt Fuzzing for Fuzz Driver Generation","Yunlong Lyu | Yuxuan Xie | Peng Chen | Hao Chen","2024","","10.1145/3658644.3670396","https://openalex.org/W4405182882","String 1","EXCLUDE","EC4 - Fuzz driver generation for libraries","",""
"18","A Multi-Agent Approach for REST API Testing with Semantic Graphs and LLM-Driven Inputs","Myeongsoo Kim | Tyler Stennett | Saurabh Sinha | Alessandro Orso","2024","arXiv (Cornell University)","10.48550/arxiv.2411.07098","https://openalex.org/W4404391907","String 1, String 2","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Relevant"
"19","Automating REST API Postman Test Cases Using LLM","Sulistyowati Sri | Mohammed Aadil S | Sanjjushri Varshini R | Raja Raman | Gopinath Rajagopal | S Taranath Chan","2024","arXiv (Cornell University)","10.48550/arxiv.2404.10678","https://openalex.org/W4394906509","String 1, String 2","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
"20","DeepREST: Automated Test Case Generation for REST APIs Exploiting Deep Reinforcement Learning","Davide Corradini | Zeno Montolli | Michele Pasqua | Mariano Ceccato","2024","arXiv (Cornell University)","10.48550/arxiv.2408.08594","https://openalex.org/W4402500955","String 1","EXCLUDE","IC4 - No LLM involvement","",""
"21","Understanding Hackers’ Work: An Empirical Study of Offensive Security Practitioners","Andreas Happe | Jürgen Cito","2023","","10.1145/3611643.3613900","https://openalex.org/W4385849148","String 1","EXCLUDE","EC4 - Security/pen testing","",""
"22","Automating a Complete Software Test Process Using LLMs: An Automotive Case Study","Wang, Shuai | Yinan Yu | Robert Feldt | Dhasarathy Parthasarathy","2025","ArXiv.org","10.48550/arxiv.2502.04008","https://openalex.org/W4407245148","String 1","EXCLUDE","EC4 - No REST API testing context","",""
"23","A Review on Vibe Coding: Fundamentals, State-of-the-art, Challenges and Future Directions","Partha Pratim Ray","2025","","10.36227/techrxiv.174681482.27435614/v1","https://openalex.org/W4410251856","String 1","EXCLUDE","EC4 - Vibe coding review","",""
"24","APITestGenie: Automated API Test Generation through Generative AI","André F. G. Pereira | Bruno Lima | João Pascoal Faria","2024","arXiv (Cornell University)","10.48550/arxiv.2409.03838","https://openalex.org/W4403585936","String 1, String 2","INCLUDE","IC1, IC2, IC3, IC4, IC5","Include","IC3, IC4, IC5 - Verified relevant"
