sut,arm,op,n_2xx,n_4xx,n_5xx
features,evomaster,UNKNOWN,1,0,0
features,evomaster,addConfiguration,3,0,2
features,evomaster,addExcludesConstraintToProduct,1,0,1
features,evomaster,addFeatureToConfiguration,0,0,1
features,evomaster,addFeatureToProduct,1,0,2
features,evomaster,addProduct,4,0,0
features,evomaster,addRequiresConstraintToProduct,1,0,1
features,evomaster,deleteConfiguration,1,0,2
features,evomaster,deleteConstraint,3,0,0
features,evomaster,deleteFeature,0,0,1
features,evomaster,deleteFeatureOfProduct,0,0,2
features,evomaster,deleteProductByName,1,0,1
features,evomaster,getAllProducts,1,0,0
features,evomaster,getConfigurationActivedFeatures,0,0,2
features,evomaster,getConfigurationWithNameForProduct,2,0,0
features,evomaster,getConfigurationsForProduct,1,0,0
features,evomaster,getFeaturesForProduct,1,0,1
features,evomaster,getProductByName,1,0,1
features,evomaster,updateFeatureOfProduct,0,0,1
features,llm,UNKNOWN,0,1,0
features,llm,addConfiguration,20,0,1
features,llm,addExcludesConstraintToProduct,7,0,1
features,llm,addFeatureToConfiguration,4,0,3
features,llm,addFeatureToProduct,30,0,2
features,llm,addProduct,75,0,0
features,llm,addRequiresConstraintToProduct,6,0,1
features,llm,deleteConfiguration,2,0,4
features,llm,deleteConstraint,6,1,0
features,llm,deleteFeature,4,0,2
features,llm,deleteFeatureOfProduct,2,1,3
features,llm,deleteProductByName,2,0,3
features,llm,getAllProducts,2,2,0
features,llm,getConfigurationActivedFeatures,2,1,3
features,llm,getConfigurationWithNameForProduct,5,0,0
features,llm,getConfigurationsForProduct,4,1,0
features,llm,getFeaturesForProduct,3,1,2
features,llm,getProductByName,3,0,3
features,llm,updateFeatureOfProduct,3,0,4
features,manual,addConfiguration,10,0,1
features,manual,addExcludesConstraintToProduct,3,0,1
features,manual,addFeatureToConfiguration,3,0,2
features,manual,addFeatureToProduct,19,0,4
features,manual,addProduct,44,0,0
features,manual,addRequiresConstraintToProduct,6,0,0
features,manual,deleteConfiguration,2,0,1
features,manual,deleteConstraint,6,1,0
features,manual,deleteFeature,3,0,1
features,manual,deleteFeatureOfProduct,2,0,1
features,manual,deleteProductByName,2,0,1
features,manual,getAllProducts,1,0,0
features,manual,getConfigurationActivedFeatures,1,0,2
features,manual,getConfigurationWithNameForProduct,4,0,0
features,manual,getConfigurationsForProduct,2,0,0
features,manual,getFeaturesForProduct,1,0,1
features,manual,getProductByName,5,0,2
features,manual,updateFeatureOfProduct,1,0,3
ncs,evomaster,UNKNOWN,1,0,0
ncs,evomaster,bessjUsingGET,3,2,0
ncs,evomaster,checkTriangleUsingGET,5,0,0
ncs,evomaster,expintUsingGET,2,2,0
ncs,evomaster,fisherUsingGET,5,1,0
ncs,evomaster,gammqUsingGET,2,2,0
ncs,evomaster,remainderUsingGET,2,3,0
ncs,llm,UNKNOWN,0,7,0
ncs,llm,bessjUsingGET,5,6,0
ncs,llm,checkTriangleUsingGET,12,3,0
ncs,llm,expintUsingGET,4,6,0
ncs,llm,fisherUsingGET,8,5,0
ncs,llm,gammqUsingGET,6,6,0
ncs,llm,remainderUsingGET,8,5,0
ncs,manual,UNKNOWN,0,9,0
ncs,manual,bessjUsingGET,3,5,0
ncs,manual,checkTriangleUsingGET,8,2,0
ncs,manual,expintUsingGET,4,4,0
ncs,manual,fisherUsingGET,6,2,0
ncs,manual,gammqUsingGET,3,4,0
ncs,manual,remainderUsingGET,7,3,0
scs,evomaster,UNKNOWN,1,0,0
scs,evomaster,calcUsingGET,4,0,0
scs,evomaster,cookieUsingGET,2,0,0
scs,evomaster,costfunsUsingGET,3,0,0
scs,evomaster,dateParseUsingGET,2,0,0
scs,evomaster,fileSuffixUsingGET,2,0,0
scs,evomaster,notyPevarUsingGET,3,0,0
scs,evomaster,ordered4UsingGET,2,0,0
scs,evomaster,patUsingGET,2,0,0
scs,evomaster,regexUsingGET,2,0,0
scs,evomaster,text2txtUsingGET,2,0,0
scs,evomaster,titleUsingGET,2,0,0
scs,llm,UNKNOWN,0,8,0
scs,llm,calcUsingGET,13,3,0
scs,llm,cookieUsingGET,6,0,0
scs,llm,costfunsUsingGET,7,3,0
scs,llm,dateParseUsingGET,10,0,0
scs,llm,fileSuffixUsingGET,7,1,0
scs,llm,notyPevarUsingGET,6,3,0
scs,llm,ordered4UsingGET,7,1,0
scs,llm,patUsingGET,8,0,0
scs,llm,regexUsingGET,8,0,0
scs,llm,text2txtUsingGET,7,0,0
scs,llm,titleUsingGET,11,0,0
scs,manual,UNKNOWN,0,5,0
scs,manual,calcUsingGET,10,2,0
scs,manual,cookieUsingGET,5,0,0
scs,manual,costfunsUsingGET,5,3,0
scs,manual,dateParseUsingGET,8,0,0
scs,manual,fileSuffixUsingGET,6,0,0
scs,manual,notyPevarUsingGET,5,2,0
scs,manual,ordered4UsingGET,6,0,0
scs,manual,patUsingGET,6,0,0
scs,manual,regexUsingGET,6,0,0
scs,manual,text2txtUsingGET,5,0,0
scs,manual,titleUsingGET,8,0,0
