mutant_id,arm,killed,n_oracle,n_now_failing_oracle
m001,llm,0,97,0
m001,manual,0,52,0
m001,evomaster,0,27,0
m002,llm,0,97,0
m002,manual,0,52,0
m002,evomaster,0,27,0
m003,llm,0,97,0
m003,manual,0,52,0
m003,evomaster,0,27,0
m004,llm,0,97,0
m004,manual,0,52,0
m004,evomaster,0,27,0
m006,llm,0,97,0
m006,manual,0,52,0
m006,evomaster,0,27,0
m008,llm,0,97,0
m008,manual,0,52,0
m008,evomaster,0,27,0
m009,llm,0,97,0
m009,manual,0,52,0
m009,evomaster,0,27,0
m010,llm,0,97,0
m010,manual,0,52,0
m010,evomaster,0,27,0
m011,llm,0,97,0
m011,manual,0,52,0
m011,evomaster,0,27,0
m012,llm,0,97,0
m012,manual,0,52,0
m012,evomaster,0,27,0
m013,llm,0,97,0
m013,manual,0,52,0
m013,evomaster,0,27,0
m015,llm,0,97,0
m015,manual,0,52,0
m015,evomaster,0,27,0
m016,llm,0,97,0
m016,manual,0,52,0
m016,evomaster,0,27,0
m021,llm,0,97,0
m021,manual,0,52,0
m021,evomaster,0,27,0
m022,llm,0,97,0
m022,manual,0,52,0
m022,evomaster,1,27,2
m026,llm,1,97,6
m026,manual,1,52,1
m026,evomaster,1,27,1
m027,llm,0,97,0
m027,manual,0,52,0
m027,evomaster,0,27,0
m029,llm,0,97,0
m029,manual,0,52,0
m029,evomaster,0,27,0
m030,llm,0,97,0
m030,manual,0,52,0
m030,evomaster,1,27,1
m032,llm,0,97,0
m032,manual,0,52,0
m032,evomaster,0,27,0
m033,llm,0,97,0
m033,manual,0,52,0
m033,evomaster,0,27,0
m035,llm,0,97,0
m035,manual,0,52,0
m035,evomaster,0,27,0
m036,llm,0,97,0
m036,manual,0,52,0
m036,evomaster,0,27,0
m037,llm,0,97,0
m037,manual,0,52,0
m037,evomaster,0,27,0
m038,llm,0,97,0
m038,manual,0,52,0
m038,evomaster,0,27,0
m039,llm,0,97,0
m039,manual,0,52,0
m039,evomaster,0,27,0
m040,llm,0,97,0
m040,manual,0,52,0
m040,evomaster,0,27,0
m041,llm,0,97,0
m041,manual,0,52,0
m041,evomaster,0,27,0
m042,llm,0,97,0
m042,manual,0,52,0
m042,evomaster,0,27,0
m043,llm,0,97,0
m043,manual,0,52,0
m043,evomaster,0,27,0
m044,llm,0,97,0
m044,manual,0,52,0
m044,evomaster,0,27,0
m045,llm,0,97,0
m045,manual,0,52,0
m045,evomaster,0,27,0
m046,llm,0,97,0
m046,manual,0,52,0
m046,evomaster,0,27,0
m047,llm,0,97,0
m047,manual,0,52,0
m047,evomaster,0,27,0
m048,llm,0,97,0
m048,manual,0,52,0
m048,evomaster,0,27,0
m049,llm,0,97,0
m049,manual,0,52,0
m049,evomaster,0,27,0
m050,llm,1,97,5
m050,manual,0,52,0
m050,evomaster,1,27,1
m051,llm,0,97,0
m051,manual,0,52,0
m051,evomaster,0,27,0
m052,llm,0,97,0
m052,manual,0,52,0
m052,evomaster,0,27,0
m053,llm,0,97,0
m053,manual,0,52,0
m053,evomaster,0,27,0
m054,llm,1,97,5
m054,manual,0,52,0
m054,evomaster,1,27,1
m055,llm,0,97,0
m055,manual,0,52,0
m055,evomaster,0,27,0
m056,llm,1,97,3
m056,manual,0,52,0
m056,evomaster,0,27,0
m057,llm,1,97,3
m057,manual,0,52,0
m057,evomaster,0,27,0
m058,llm,0,97,0
m058,manual,0,52,0
m058,evomaster,0,27,0
m059,llm,1,97,3
m059,manual,0,52,0
m059,evomaster,0,27,0
m060,llm,0,97,0
m060,manual,0,52,0
m060,evomaster,0,27,0
m061,llm,0,97,0
m061,manual,0,52,0
m061,evomaster,0,27,0
m062,llm,0,97,0
m062,manual,0,52,0
m062,evomaster,0,27,0
m063,llm,0,97,0
m063,manual,0,52,0
m063,evomaster,0,27,0
m066,llm,0,97,0
m066,manual,0,52,0
m066,evomaster,0,27,0
m067,llm,1,97,1
m067,manual,0,52,0
m067,evomaster,0,27,0
m068,llm,0,97,0
m068,manual,0,52,0
m068,evomaster,0,27,0
m069,llm,0,97,0
m069,manual,0,52,0
m069,evomaster,0,27,0
m070,llm,0,97,0
m070,manual,0,52,0
m070,evomaster,0,27,0
m071,llm,0,97,0
m071,manual,0,52,0
m071,evomaster,0,27,0
m072,llm,0,97,0
m072,manual,0,52,0
m072,evomaster,0,27,0
m073,llm,0,97,0
m073,manual,0,52,0
m073,evomaster,0,27,0
m074,llm,0,97,0
m074,manual,0,52,0
m074,evomaster,0,27,0
