sut,arm,role,endpoints,test_cases,requests,http_2xx,http_4xx,http_5xx,endpoint_coverage_pct,edge_scenarios,fault_recall,err_behaviours_triggered,err_behaviours_in_key
ncs,llm,Proposed — LLM (Claude Sonnet 4.6),6,86,81,39,42,0,100.0,69,0.0,6,6
ncs,manual,"Baseline 1 — Human (black-box, EP+BVA)",6,51,51,24,27,0,100.0,44,0.0,6,6
ncs,evomaster,"Baseline 2 — Tool (EvoMaster 6.0, SOTA white-box fuzzer)",6,30,30,20,10,0,,0,0.1714,5,6
scs,llm,Proposed — LLM (Claude Sonnet 4.6),11,109,109,90,19,0,100.0,68,0.1186,5,5
scs,manual,"Baseline 1 — Human (black-box, EP+BVA)",11,54,52,32,20,0,100.0,43,0.0169,3,5
scs,evomaster,"Baseline 2 — Tool (EvoMaster 6.0, SOTA white-box fuzzer)",11,27,27,27,0,0,,0,0.0847,0,5
features,llm,Proposed — LLM (Claude Sonnet 4.6),18,100,220,180,8,32,100.0,80,0.25,20,20
features,manual,"Baseline 1 — Human (black-box, EP+BVA)",18,42,41,17,2,22,88.9,26,0.25,13,20
features,evomaster,"Baseline 2 — Tool (EvoMaster 6.0, SOTA white-box fuzzer)",18,30,38,20,0,18,,0,0.25,13,20
ALL,llm,Proposed — LLM (Claude Sonnet 4.6),35,295,410,309,69,32,,217,0.0602,31,31
ALL,manual,"Baseline 1 — Human (black-box, EP+BVA)",35,147,144,73,49,22,,113,0.015,22,31
ALL,evomaster,"Baseline 2 — Tool (EvoMaster 6.0, SOTA white-box fuzzer)",35,87,95,67,10,18,,0,0.1353,18,31
